[2025-07-28 01:17:09] [INFO    ] discord.client: logging in using static token
[2025-07-28 01:17:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-28 01:17:10] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-28 01:17:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1305833821002010714', 'username': 'Zephyr', 'avatar': 'a_f74eaaf3fb6042f7f7c0393ab34ae323', 'discriminator': '2355', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_3321bcd25b421c4d258460be143e69c7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-28 01:17:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-28 01:17:11] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-28 01:17:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1305833821002010714', 'name': 'Zephyr', 'icon': '846bcc2291f05de04dafbb487e96dbce', 'description': 'defend sir akhdaan at all costs -', 'type': None, 'bot': {'id': '1305833821002010714', 'username': 'Zephyr', 'avatar': 'a_f74eaaf3fb6042f7f7c0393ab34ae323', 'discriminator': '2355', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_3321bcd25b421c4d258460be143e69c7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'guild_id': '1346560094325968957', 'bot_public': True, 'bot_require_code_grant': False, 'custom_install_url': 'https://discord.gg/bots/zephyr', 'integration_types_config': {'0': {}, '1': {}}, 'verify_key': '887a12a198118799e4648664344100840379638d614193722118f14173484ae8', 'flags': 8945664, 'tags': ['coder', 'moderator', 'decoration', 'code', 'guardian'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '491893610309222400', 'username': 'nevertheless____', 'avatar': '56ee10bba55c0a5d433aae8b46a53b38', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 1118740, 'global_name': 'Rhino', 'avatar_decoration_data': {'asset': 'a_f37b13213a05d82f2125bc262f61180a', 'sku_id': '1391785327613706301', 'expires_at': 1758582000}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#111214', 'clan': {'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'tag': 'CODE', 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'primary_guild': {'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'tag': 'CODE', 'badge': '3858554c542da4e8e4b52ff00a558ced'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 998, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-28 01:17:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-28 01:17:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-2lr1",{"micros":0.0}]']}}
[2025-07-28 01:17:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-28 01:17:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-28 01:17:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Zephyr', 'primary_guild': None, 'mfa_enabled': False, 'id': '1305833821002010714', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2355', 'clan': None, 'bot': True, 'avatar': 'a_f74eaaf3fb6042f7f7c0393ab34ae323'}, 'session_type': 'normal', 'session_id': '7c48aec9b8fc415a641bc048a82ede74', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1346560094325968957'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'sydney', 'india', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1305833821002010714', 'flags': 8945664}, '_trace': ['["gateway-prd-us-east1-d-2lr1",{"micros":85206,"calls":["id_created",{"micros":619,"calls":[]},"session_lookup_time",{"micros":1776,"calls":[]},"session_lookup_finished",{"micros":29,"calls":[]},"discord-sessions-prd-2-111",{"micros":81720,"calls":["start_session",{"micros":60677,"calls":["discord-api-rpc-6b75696855-nttjd",{"micros":37336,"calls":["get_user",{"micros":5951},"get_guilds",{"micros":3550},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":145},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":9046},"apex_experiments",{"micros":4764},"user_activities",{"micros":5},"played_application_ids",{"micros":7}]}]},"starting_guild_connect",{"micros":62,"calls":[]},"presence_started",{"micros":2559,"calls":[]},"guilds_started",{"micros":78,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":18325,"calls":[]},"connect_finished",{"micros":18329,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-28 01:17:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-28 01:17:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 7c48aec9b8fc415a641bc048a82ede74).
[2025-07-28 01:17:11] [DEBUG   ] discord.client: Dispatching event connect
